symbol,ex_date,action_type,action_detail,record_date,source
RELIANCE,2026-06-05,DIVIDEND,Dividend - Rs 6 Per Share,2026-06-05,NSE
RELIANCE,2025-08-14,DIVIDEND,Dividend - Rs 5.5 Per Share,2025-08-14,NSE
RELIANCE,2024-10-28,BONUS,Bonus 1:1,2024-10-28,NSE
RELIANCE,2024-08-19,DIVIDEND,Dividend - Rs 10 Per Share,2024-08-19,NSE
RELIANCE,2023-08-21,DIVIDEND,Dividend - Rs 9 Per Share,2023-08-21,NSE
RELIANCE,2023-07-20,MERGER,Demerger,2023-07-20,NSE
RELIANCE,2022-08-18,DIVIDEND,Dividend - Rs 8 Per Share,2022-08-19,NSE
RELIANCE,2021-06-11,DIVIDEND, Dividend - Rs 7 Per Share,2021-06-14,NSE
RELIANCE,2020-07-02,DIVIDEND, Dividend - Rs 6.50  Per Share,2020-07-03,NSE
RELIANCE,2020-05-13,RIGHTS, Rights 1:15 @ Premium Rs 1247,2020-05-14,NSE
RELIANCE,2019-08-02,DIVIDEND, Annual General Meeting/Dividend - Rs 6.50 Per Share,2019-08-05,NSE
RELIANCE,2018-06-27,DIVIDEND, Dividend- Rs 6 Per Share,2018-06-28,NSE
RELIANCE,2017-09-07,BONUS, Bonus 1:1,2017-09-09,NSE
RELIANCE,2017-07-13,DIVIDEND, Dividend -  Rs 11/- Per Share,2017-07-14,NSE
RELIANCE,2016-03-17,DIVIDEND, Interim Dividend - Rs 10.50/- Per Share (Purpose Revised),2016-03-18,NSE
RELIANCE,2015-05-08,DIVIDEND,Dividend - Rs 10/- Per Share,,NSE
RELIANCE,2014-05-16,DIVIDEND,Dividend Rs. 9.50 Per Equity Share,,NSE
RELIANCE,2013-05-10,DIVIDEND,Annual General Meeting/ Dividend Rs. 9 Per Equity Share,,NSE
RELIANCE,2012-05-31,DIVIDEND,Annual General Meeting And Dividend Rs.8.50 Per Share,,NSE
RELIANCE,2011-05-05,DIVIDEND,Dividend-Rs.8/- Per Share,,NSE
