date,symbol,expiry_date,option_type,strike_price,open,high,low,close,volume,open_interest,source
2026-09-23,RELIANCE,2026-09-29,XX,0.0,1245.6,1254.5,1241.3,1247.9,11552000,105397500,NSE_FO
2026-09-22,RELIANCE,2026-09-29,XX,0.0,1251.6,1255.1,1238.2,1245.1,14177500,113251500,NSE_FO
2026-09-21,RELIANCE,2026-09-29,XX,0.0,1238.6,1253.5,1235.4,1251.6,9527000,121595500,NSE_FO
2026-09-18,RELIANCE,2026-09-29,XX,0.0,1247.0,1250.6,1234.4,1241.4,10342500,123838000,NSE_FO
2026-09-17,RELIANCE,2026-09-29,XX,0.0,1249.7,1257.0,1241.1,1247.4,7263500,124306000,NSE_FO
2026-09-16,RELIANCE,2026-09-29,XX,0.0,1243.9,1256.5,1243.9,1247.6,7986000,124483000,NSE_FO
2026-09-15,RELIANCE,2026-09-29,XX,0.0,1259.0,1263.9,1239.6,1242.8,12683000,126435500,NSE_FO
2026-09-11,RELIANCE,2026-09-29,XX,0.0,1270.1,1270.9,1255.7,1265.3,10122500,128790500,NSE_FO
2026-09-10,RELIANCE,2026-09-29,XX,0.0,1285.0,1291.0,1269.6,1272.5,9348500,129406500,NSE_FO
2026-09-09,RELIANCE,2026-09-29,XX,0.0,1291.0,1301.8,1285.0,1288.7,11235000,128771500,NSE_FO
2026-09-08,RELIANCE,2026-09-29,XX,0.0,1310.1,1311.9,1292.4,1295.6,9663000,127044500,NSE_FO
2026-09-07,RELIANCE,2026-09-29,XX,0.0,1331.0,1333.6,1311.5,1313.7,7879000,128420000,NSE_FO
2026-09-04,RELIANCE,2026-09-29,XX,0.0,1313.5,1341.9,1312.5,1335.6,15504500,129035500,NSE_FO
2026-09-03,RELIANCE,2026-09-29,XX,0.0,1322.9,1325.3,1312.6,1315.6,9027500,129118000,NSE_FO
2026-09-02,RELIANCE,2026-09-29,XX,0.0,1303.0,1330.6,1301.7,1321.0,15481000,129042000,NSE_FO
2026-09-01,RELIANCE,2026-09-29,XX,0.0,1295.0,1320.9,1289.1,1311.6,17741000,128296500,NSE_FO
2026-08-31,RELIANCE,2026-09-29,XX,0.0,1282.1,1308.6,1277.9,1301.1,20834000,128216000,NSE_FO
2026-08-28,RELIANCE,2026-09-29,XX,0.0,1295.0,1300.0,1288.5,1292.4,6889000,132327000,NSE_FO
2026-08-27,RELIANCE,2026-09-29,XX,0.0,1311.0,1315.0,1293.6,1297.3,9815500,130257000,NSE_FO
2026-08-26,RELIANCE,2026-09-29,XX,0.0,1321.8,1326.0,1309.1,1311.3,8344000,129167000,NSE_FO
2026-08-25,RELIANCE,2026-09-29,XX,0.0,1312.0,1323.6,1307.0,1321.8,25846000,127637000,NSE_FO
2026-08-24,RELIANCE,2026-09-29,XX,0.0,1324.0,1327.2,1310.0,1312.2,29295000,107967500,NSE_FO
